run_id,label_attack,scenario_id,severity,seed,split
RUN_00001,BENIGN,S1,NONE,1001,train
RUN_00002,BENIGN,S1,NONE,1002,test
RUN_00003,BENIGN,S1,NONE,1003,train
RUN_00004,BENIGN,S2,NONE,1001,train
RUN_00005,BENIGN,S2,NONE,1002,val
RUN_00006,BENIGN,S2,NONE,1003,train
RUN_00007,BENIGN,S3,NONE,1001,train
RUN_00008,BENIGN,S3,NONE,1002,train
RUN_00009,BENIGN,S3,NONE,1003,test
RUN_00010,BENIGN,S4,NONE,1001,train
RUN_00011,BENIGN,S4,NONE,1002,val
RUN_00012,BENIGN,S4,NONE,1003,train
RUN_00109,C2_DEGRADATION,S1,LOW,2001,test
RUN_00110,C2_DEGRADATION,S1,LOW,2002,train
RUN_00111,C2_DEGRADATION,S1,MEDIUM,2001,train
RUN_00112,C2_DEGRADATION,S1,MEDIUM,2002,test
RUN_00113,C2_DEGRADATION,S1,HIGH,2001,train
RUN_00114,C2_DEGRADATION,S1,HIGH,2002,train
RUN_00115,C2_DEGRADATION,S2,LOW,2001,train
RUN_00116,C2_DEGRADATION,S2,LOW,2002,train
RUN_00117,C2_DEGRADATION,S2,MEDIUM,2001,train
RUN_00118,C2_DEGRADATION,S2,MEDIUM,2002,val
RUN_00119,C2_DEGRADATION,S2,HIGH,2001,train
RUN_00120,C2_DEGRADATION,S2,HIGH,2002,val
RUN_00121,C2_DEGRADATION,S3,LOW,2001,train
RUN_00122,C2_DEGRADATION,S3,LOW,2002,train
RUN_00123,C2_DEGRADATION,S3,MEDIUM,2001,val
RUN_00124,C2_DEGRADATION,S3,MEDIUM,2002,train
RUN_00125,C2_DEGRADATION,S3,HIGH,2001,train
RUN_00126,C2_DEGRADATION,S3,HIGH,2002,train
RUN_00127,C2_DEGRADATION,S4,LOW,2001,train
RUN_00128,C2_DEGRADATION,S4,LOW,2002,test
RUN_00129,C2_DEGRADATION,S4,MEDIUM,2001,train
RUN_00130,C2_DEGRADATION,S4,MEDIUM,2002,val
RUN_00131,C2_DEGRADATION,S4,HIGH,2001,train
RUN_00132,C2_DEGRADATION,S4,HIGH,2002,train
RUN_00062,FDI_GCS_POSITION_DRIFT,S1,LOW,2001,val
RUN_00064,FDI_GCS_POSITION_DRIFT,S1,LOW,2002,train
RUN_00066,FDI_GCS_POSITION_DRIFT,S1,MEDIUM,2001,train
RUN_00068,FDI_GCS_POSITION_DRIFT,S1,MEDIUM,2002,train
RUN_00070,FDI_GCS_POSITION_DRIFT,S1,HIGH,2001,val
RUN_00072,FDI_GCS_POSITION_DRIFT,S1,HIGH,2002,train
RUN_00074,FDI_GCS_POSITION_DRIFT,S2,LOW,2001,train
RUN_00076,FDI_GCS_POSITION_DRIFT,S2,LOW,2002,train
RUN_00078,FDI_GCS_POSITION_DRIFT,S2,MEDIUM,2001,train
RUN_00080,FDI_GCS_POSITION_DRIFT,S2,MEDIUM,2002,test
RUN_00082,FDI_GCS_POSITION_DRIFT,S2,HIGH,2001,train
RUN_00084,FDI_GCS_POSITION_DRIFT,S2,HIGH,2002,train
RUN_00086,FDI_GCS_POSITION_DRIFT,S3,LOW,2001,train
RUN_00088,FDI_GCS_POSITION_DRIFT,S3,LOW,2002,test
RUN_00090,FDI_GCS_POSITION_DRIFT,S3,MEDIUM,2001,train
RUN_00092,FDI_GCS_POSITION_DRIFT,S3,MEDIUM,2002,val
RUN_00094,FDI_GCS_POSITION_DRIFT,S3,HIGH,2001,test
RUN_00096,FDI_GCS_POSITION_DRIFT,S3,HIGH,2002,train
RUN_00098,FDI_GCS_POSITION_DRIFT,S4,LOW,2001,train
RUN_00100,FDI_GCS_POSITION_DRIFT,S4,LOW,2002,train
RUN_00102,FDI_GCS_POSITION_DRIFT,S4,MEDIUM,2001,train
RUN_00104,FDI_GCS_POSITION_DRIFT,S4,MEDIUM,2002,val
RUN_00106,FDI_GCS_POSITION_DRIFT,S4,HIGH,2001,train
RUN_00108,FDI_GCS_POSITION_DRIFT,S4,HIGH,2002,train
RUN_00061,FDI_GCS_STATE_SPOOF,S1,LOW,2001,train
RUN_00063,FDI_GCS_STATE_SPOOF,S1,LOW,2002,val
RUN_00065,FDI_GCS_STATE_SPOOF,S1,MEDIUM,2001,train
RUN_00067,FDI_GCS_STATE_SPOOF,S1,MEDIUM,2002,train
RUN_00069,FDI_GCS_STATE_SPOOF,S1,HIGH,2001,train
RUN_00071,FDI_GCS_STATE_SPOOF,S1,HIGH,2002,train
RUN_00073,FDI_GCS_STATE_SPOOF,S2,LOW,2001,train
RUN_00075,FDI_GCS_STATE_SPOOF,S2,LOW,2002,val
RUN_00077,FDI_GCS_STATE_SPOOF,S2,MEDIUM,2001,train
RUN_00079,FDI_GCS_STATE_SPOOF,S2,MEDIUM,2002,test
RUN_00081,FDI_GCS_STATE_SPOOF,S2,HIGH,2001,val
RUN_00083,FDI_GCS_STATE_SPOOF,S2,HIGH,2002,train
RUN_00085,FDI_GCS_STATE_SPOOF,S3,LOW,2001,test
RUN_00087,FDI_GCS_STATE_SPOOF,S3,LOW,2002,train
RUN_00089,FDI_GCS_STATE_SPOOF,S3,MEDIUM,2001,train
RUN_00091,FDI_GCS_STATE_SPOOF,S3,MEDIUM,2002,train
RUN_00093,FDI_GCS_STATE_SPOOF,S3,HIGH,2001,train
RUN_00095,FDI_GCS_STATE_SPOOF,S3,HIGH,2002,val
RUN_00097,FDI_GCS_STATE_SPOOF,S4,LOW,2001,train
RUN_00099,FDI_GCS_STATE_SPOOF,S4,LOW,2002,train
RUN_00101,FDI_GCS_STATE_SPOOF,S4,MEDIUM,2001,train
RUN_00103,FDI_GCS_STATE_SPOOF,S4,MEDIUM,2002,test
RUN_00105,FDI_GCS_STATE_SPOOF,S4,HIGH,2001,train
RUN_00107,FDI_GCS_STATE_SPOOF,S4,HIGH,2002,train
RUN_00013,FLOOD,S1,LOW,2001,train
RUN_00014,FLOOD,S1,LOW,2002,train
RUN_00015,FLOOD,S1,MEDIUM,2001,train
RUN_00016,FLOOD,S1,MEDIUM,2002,train
RUN_00017,FLOOD,S1,HIGH,2001,val
RUN_00018,FLOOD,S1,HIGH,2002,train
RUN_00019,FLOOD,S2,LOW,2001,train
RUN_00020,FLOOD,S2,LOW,2002,train
RUN_00021,FLOOD,S2,MEDIUM,2001,val
RUN_00022,FLOOD,S2,MEDIUM,2002,test
RUN_00023,FLOOD,S2,HIGH,2001,train
RUN_00024,FLOOD,S2,HIGH,2002,train
RUN_00025,FLOOD,S3,LOW,2001,train
RUN_00026,FLOOD,S3,LOW,2002,train
RUN_00027,FLOOD,S3,MEDIUM,2001,val
RUN_00028,FLOOD,S3,MEDIUM,2002,val
RUN_00029,FLOOD,S3,HIGH,2001,train
RUN_00030,FLOOD,S3,HIGH,2002,train
RUN_00031,FLOOD,S4,LOW,2001,train
RUN_00032,FLOOD,S4,LOW,2002,train
RUN_00033,FLOOD,S4,MEDIUM,2001,train
RUN_00034,FLOOD,S4,MEDIUM,2002,test
RUN_00035,FLOOD,S4,HIGH,2001,train
RUN_00036,FLOOD,S4,HIGH,2002,test
RUN_00133,MAVLINK_ANOMALY,S1,LOW,2001,train
RUN_00134,MAVLINK_ANOMALY,S1,LOW,2002,test
RUN_00135,MAVLINK_ANOMALY,S1,MEDIUM,2001,train
RUN_00136,MAVLINK_ANOMALY,S1,MEDIUM,2002,val
RUN_00137,MAVLINK_ANOMALY,S1,HIGH,2001,train
RUN_00138,MAVLINK_ANOMALY,S1,HIGH,2002,val
RUN_00139,MAVLINK_ANOMALY,S2,LOW,2001,train
RUN_00140,MAVLINK_ANOMALY,S2,LOW,2002,train
RUN_00141,MAVLINK_ANOMALY,S2,MEDIUM,2001,train
RUN_00142,MAVLINK_ANOMALY,S2,MEDIUM,2002,test
RUN_00143,MAVLINK_ANOMALY,S2,HIGH,2001,train
RUN_00144,MAVLINK_ANOMALY,S2,HIGH,2002,train
RUN_00145,MAVLINK_ANOMALY,S3,LOW,2001,val
RUN_00146,MAVLINK_ANOMALY,S3,LOW,2002,train
RUN_00147,MAVLINK_ANOMALY,S3,MEDIUM,2001,train
RUN_00148,MAVLINK_ANOMALY,S3,MEDIUM,2002,train
RUN_00149,MAVLINK_ANOMALY,S3,HIGH,2001,val
RUN_00150,MAVLINK_ANOMALY,S3,HIGH,2002,test
RUN_00151,MAVLINK_ANOMALY,S4,LOW,2001,train
